VideoID,Title,Description,Subject,Uploader,Rating,Views,Class,KeyWords,Language,URL
33,Exploring the World of Organic Chemistry,Dive into the world of organic chemistry with NCERT.,Chemistry,Vedantu,4.7,23308,10,"Organic Chemistry,Organic Chemistry Class 10, Organaic Chemistry NCERT, organic ICSE ",English,https://www.youtube.com/playlist?list=PLVONEN7ojmy8axIEJOhq-hAiM4yJx8Pq9
34,Organic Chemistry class10,General Organic Chemistry In Hindi,Chemistry,Physics Wallah,5,3006296,10,"Oraginic Chemistry, Organic Chemsitry Class 10 in Hindi, Oragnic Chemistry Class 10, GOC",Hindi,https://www.youtube.com/playlist?list=PLF_7kfnwLFCEYzQVStf-o95DN_ZtRpJaS
35,Basic Organic Chemistry,General Organic Chemistry In Malayalam For CBSE board Exams,Chemistry,Physics Wallah,4,5071,10,"Organic Chemistry,Organic Chemistry Class 10, Organaic Chemistry NCERT, Organic Chemistry in malayalam, goc",Malayalam,https://www.youtube.com/playlist?list=PL-4LciKbZ0wWGX7r_5NE8chdINoGA__oP
36,Shakespearean Drama: 'Romeo and Juliet',Analyze 'Romeo and Juliet' from your NCERT English book.,English Literature,ShakespeareFans,4.8,2845,10,"Romeo and Juliet, Shakespeare, English Literature, Class 10 ",English,https://www.youtube.com/watch?v=f3fBp8wqEyk
37,Trigonometry Simplified,Simplify trigonometry concepts according to NCERT.,Mathematics,Vedantu,4,2973,10,"Trigonometry, Mathematics, Class 10, NCERT, Chapter 8, Trignometry class 10 cbse",English,https://www.youtube.com/playlist?list=PLhf4hr_x5XyTf0eaGaISjhiBismzbVXyO
38,Trignometry class 10,Trigonometry concepts according to NCERT in Hindi With Exercises Sollutions,Mathematics,Unacademy,4.5,367603,10,"Trognometry, Trignometry Class 10 in Hindi cbse, Trignometry ICSE",Hindi,https://www.youtube.com/playlist?list=PLag1CXTqVRCdMi-HBkmg18t9b0DhjvBWL
39,Trignometry,Simplify trigonometry concepts according to NCERT In Malayalam,Mathematics,xylem,4,54321,10,"Trignometry In Malayalam, Trignometry class 10 cbse, Trignometry",Malayalam,https://www.youtube.com/watch?v=v1bX5mhewp4
40,The Solar System: A Cosmic Journey,Explore the solar system as per your NCERT Science book.,Science,SpaceExplorers,4.7,30542,10,"Solar System, Science, Class 10, NCERT ",Malayalam,https://www.youtube.com/watch?v=2RaQxOj514g
41,Cell Structure and Function,Understand cell structure and function in Biology In Hindi,Biology,Vedantu,4.8,345332,10,"Cell Structure, Function, Biology, Class 10, Structure of Cell class10 in HINDI",Hindi,https://www.youtube.com/playlist?list=PLJyab0VQDBGXssnsUu88TqpFCSdDuRiCA
42,Cell Structure class 11,Understand cell structure and function in Biology.,Biology,Mayas Classroom,3.4,9284,10,Cell structure biology class 10,English,https://www.youtube.com/playlist?list=PLwL0Myd7Dk1HR9u5jw19E1_Q5u25PKg8v
43,Analyzing Poetry: Tagore's 'Where the Mind is Without Fear',Analyze the poem from your NCERT English book.,English Literature,LitCritics,4.9,4567,10,"Where the Mind is Without Fear, Poetry Analysis, English Literature, Class 10 ",Hindi,https://www.youtube.com/watch?v=N06IjEAJNVM
44,Geometric Shapes Made Simple,Master geometric shapes as per your NCERT Math book.,Mathematics,Vedantu,4.7,3463223,10,"Geometric Shapes, Mathematics, Class 10, NCERT ",Hindi,https://www.youtube.com/watch?v=BUC0kB4QRqM
45,Exploring Electromagnetic Waves,Understand electromagnetic waves in Physics.,Physics,Vedantu,4.8,245242,10,"Electromagnetic Waves, Physics, Class 10, NCERT ",English,https://www.youtube.com/watch?v=EHE199sZDW8
46,Electrostatics,Electrostatics in Hindi explained Upto Advanced Level,Physics,Physics Wallah,5,5262424,11,"Electrostatics, Mechanics, Thermodynamics, Optics, Modern Physics",Hindi,https://www.youtube.com/playlist?list=PLQ9cqMufvw5g7CatmW1GIOAOU5PchFpvi
47,Electrostatics and Electordynamics,Electrostaics Topic Wise Explained,Physics,Vedantu,4.2,2624624,11,"Electorstatics, class12th, JEE, Jee Physics, 12th Board, All Boards",English,https://www.youtube.com/playlist?list=PL24P3-cdGKKvx8rhua2MWFLJZvbe6RQ2O
48,Basic Electrostatics,Electrostatics in Malayalam,Physics,Serious About Science,4.5,24524525,11,"Electorstaics in Malayalam,  Board Exams, JEE and Competetive Exams",Malayalam,https://www.youtube.com/playlist?list=PLmvwK8qbmlBgUrRnUSI_r6EHZPIQ9OJk0
49,Electorstatics for JEE,Covered All topics of Modern Physics in Hindi,Physics,Vedantu,4.2,2452,11,"Modern Physics, PhotoElectric Effect, Particle Duality, Nuclear Physics, Dual Nature",Hindi,https://www.youtube.com/playlist?list=PL24P3-cdGKKs0KcGSyL_05grlKRbQW6bp
50,Elcetric Charges and Field,Thermodyanmics Physics class 11th In Hindi,Physics,Physics Wallah,4.4,42345254,11,"Thermodynamics, Zeroth law, class11th, Thermodyanmics Physics, JEE, CBSE",Hindi,https://www.youtube.com/playlist?list=PLF_7kfnwLFCFPfN4TGeJt1PQpJd3MG6Zz
51,Atomic Structure,Structure Of Atom in Hindi for Class 11th Boards and JEE,Chemistry,Physics Wallah,4.5,24525,11,"Physical Chemistry, Inorganic Chemistry, Atomic Structure",Hindi,https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA
52,Stoichiometry,Stoichiometry for Class 11th Boards,Chemistry,Vedantu,4.5,5884732,11,"Physical Chemistry, Stoichoimetry, Atomic Structure, Mole Concept",English,https://www.youtube.com/playlist?list=PL24P3-cdGKKt4kL2fMHqCVJW5TfmWpwpK
53,Calculus: Integration in Malayalam,"Integration In Malayalm for class12th, Plus 2",Mathematics,Albin Kattakada,4.1,134156,11,"Calculus, Differentiation, Integration, Areas, class 11 calculus, Malayalam",Malayalam,https://www.youtube.com/playlist?list=PLzQs63OphqTAucuM96wcNFi4cNGrXvVS4
54,Calculus: Definite Integration,Definite Integration In Hindi for Class 12th in One shot,Mathematics,Unacademy,4.3,2264562,11,"Calculus, Differentiation, Integration, Areas, class 11, Hindi",Hindi,https://www.youtube.com/watch?v=PPCdmEDq85Y
55,Calculus: Indefinite Integration,"Indefinite Integration In Hindi for JEE, NDA, BITSAT",Mathematics,Unacademy,4.6,2345645,11,"Calculus, Differentiation, Integration, Areas, class 11",Hindi,https://www.youtube.com/playlist?list=PLm2ZYJCeiM05LXXG0fq5nEJkn9B4ZT5Mz
56,Calculus: Areas,"Areas In Hindi for BOARDS, CBSE, JEE",Mathematics,vedantu,4.8,236296,11,"Calculus, Differentiation, Integration, Areas, class 11, Hindi",Hindi,https://www.youtube.com/playlist?list=PLbu_fGT0MPssvCsc8lHB9x9IrRF7fLxkO
57,Calculus: Limits,Limits In Hindi Class 11th ,Mathematics,Unacademy,4.6,264896,11,"Calculus, Differentiation, Integration, Areas, class 11 calculus, Limits, Hindi",Hindi,https://www.youtube.com/playlist?list=PLbu_fGT0MPsvdAD7rKScmZhJhuB09FzWC
58,Calculus: LCD,"Limits, Continuity and Derivatives Differentiabiility in Malayalam class 11th",Mathematics,Akhila Vijayan,4.1,134396,11,"Calculus, Differentiation, Integration, Areas, class 11 calculus, Malayalam, Limits",Malayalam,https://www.youtube.com/playlist?list=PLmIvmb4Ld8G25GKg7JnoB0KiSkn5CKrc4
59,Calculus: Differentiation,Differentiation ans Derivatives in Malayalam,Mathematics,Online Math Academy,4.4,2459456,11,"Calculus, Differentiation, class 11 calculus, Malayalam",Malayalam,https://www.youtube.com/playlist?list=PLvoNvo9Y4EVq-xOLbnHzpPNR9c64KKGwT
60,Cell Biology,Cell Biology Structure of Cell for NEET and Boards in Hindi,Biology,Unacademy,4.2,235795,11,"Cell Biology, Genetics, Plant Physiology, Human Physiology, Ecology, Biotechnology",Hindi,https://www.youtube.com/watch?v=zBeJ6vDgRGM
61,Literary Analysis,Literary Analysis,English Literature,LitLovers,4.6,216964,11,"Literary Analysis, Shakespeare, Poetry, Prose, Novels, Drama",English,https://www.youtube.com/watch?v=PWnoWpbyXSw
62,Data Structures for Class 11th and 12th Boards,Class 11th and 12th Computer Science,Computer Science,Magnet Brains,4.4,23065,11,"Class 11 computer Science, CBSE, ICSE, Programming Class 11",English,https://www.youtube.com/playlist?list=PLVLoWQFkZbhUPUgSLF__j3G4Ebhq73DQt
63,Geography in Hindi,Gegraphy class 11th in Hindi,Geography,Magnet Brains,4.7,684384,11,"Physical Geography, Human Geography, Geopolitics, class 11th Geography",Hindi,https://www.youtube.com/playlist?list=PLVLoWQFkZbhVQfHsAe7Bxt2V8vZEHXelc
64,Psychology For Boards,Pshychology for Class 12th boards,Pyschlology,Magnet Brains,4.9,96445,11,"Introduction to Psychology, Cognitive Psychology, Social Psychology, Class 11th Psychology",English,https://www.youtube.com/playlist?list=PLVLoWQFkZbhVHDmA4bXNEmi7VVGUFJOIl
65,Electormagnetism,Electormagnetism for 12 th class boards and JEE,Physics,Unacademy,4.5,9523455,12,"Electromagnetism, Modern Physics, Nuclear Physics, Class 11th Elemctormagnetism",Hindi,https://www.youtube.com/playlist?list=PLJxPat5-FAzpL9ko31B_v-SFhBWsTNV5B
66,Inorganic Chemistry one shot,"All Inorganic topics for class11th and 12th covered, Group-3, Group-4",Chemistry,Physics Wallah,4.4,432426,12,"Inorganic Chemistry, Group-6, Group-7, Group-5, s-block, Hindi, p-block, Group-1, Group-2",Hindi,https://www.youtube.com/watch?v=M1jG3hxJOUU
67,S-block Elements,S-block Elements covered,Chemistry,Vedantu,4.2,654386,12,"Inorganic Chemistry, Class 11th, Class12th, s-block, Hindi, Playlist",English,https://www.youtube.com/watch?v=G4c5v97ExSM
68,Differential Equations,Differential Equations For class12th,Mathematics,Physics Wallah,4.3,755435,12,"Differential Equations, Vector Calculus, class12th, Engineerig Differential Equations",Hindi,https://www.youtube.com/watch?v=wQGBrTRouSE
69,Differential Equations For Engineering,Differential Equations For class12th in Malayalam,Mathematics,Byjus,4.8,363753,12,"Differential Equations, Vector Calculus, class12th, Engineerig Differential Equations",Malayalam,https://www.youtube.com/watch?v=fHwzxtJawcU
70,Differential Equations in Hindi,Differential Equations in class12th in Hindi,Mathematics,Dr. Gajendra Purohit,4.5,67584,12,"Differential Equations, Vector Calculus, class12th, Engineerig Differential Equations",Hindi,https://www.youtube.com/playlist?list=PLU6SqdYcYsfIuZVt20v-eNZBfFLENrM1F
71,Differential Equations M2,Differential Eqations for Engineering,Mathematics,Tutorials Point,4.1,956874,12,"Differential Equations, Vector Calculus, class12th, Engineerig Differential Equations",English,https://www.youtube.com/playlist?list=PLWPirh4EWFpGaNoUUViR37OxXZjnINOkv
72,Genetics and Evolution Of Human Beings,"Principles Of Inheritance and Variation Class 12 Biology, CBSE, NEET",Biology,Lenrno Hub,4.3,23452,12,"Genetics and Evolution, Ecology, Microbiology, Oneshot, class12th, Inheritance",English,https://www.youtube.com/watch?v=AaHSGOYK5hk
73,Inheritance and Vrianace,Inheritance and variation in Malayalam for Class12th Boards and NEET,Biology,Vedantu,5,567463,12,"Genetics and Evolution, Ecology, Biotechnology, Class 12th, Revision, Inheritance and variance",Malayalam,https://www.youtube.com/watch?v=EXeorCjROmw
74,Data Structures ,Class 11th and 12th Computer Science,Computer Science,Swathi Chawla,4.3,875645,12,"Data Structures, Algorithms, class12th, Boards, cbse, icse, python, stack, queue, Hindi",Hindi,https://www.youtube.com/playlist?list=PL5Raijva2y4Qhp87VuVA-ueQRgJTWhHCF
75,Data Structures in English,Class 11th and 12th Computer Science,Computer Science,Sundeep saradhi Kanthety,5.4,1257456,13,"Data Structures, Algorithms, class12th, Boards, cbse, icse, python, stack, queue, Hindi",English,https://www.youtube.com/playlist?list=PLLOxZwkBK52Akgqf4oSWPOQO9ROWS_9rc
76,Data Structures and Algortihms In Malayalam,Class 11th and 12th Computer Science,Computer Science,Brototype Malayalam,4.7,567845,12,"Data Structures, Algorithms, class12th, Boards, cbse, icse, python, stack, queue, Hindi",Malayalam,https://www.youtube.com/playlist?list=PLY-ecO2csVHc5kajCd3fHU6MhkTABkRh9
77,Indian History,"Indian History, polity, for Class 12th",History,Unacademy,5,5274524,12,"Modern Indian History, World History, Indian Independence Movement",English,https://www.youtube.com/playlist?list=PLWcqTv9QSBz1eoBnmEiHnbfmtIPQ0X8RT
78,Indian Polity,"Indian History, polity, for Class 12th",Economics,Unacademy,3.6,2528545,12,"Indian Politics, International Politics, Political Ideologies, class12th",Hindi,https://www.youtube.com/playlist?list=PLVLoWQFkZbhW6kJ6akUIj89h64sdL0VYe
79,Indian Polity,"Indian History, polity, for Class 12th",Political Science,Unacademy,3.9,4609432,12,"Indian Politics, International Politics, Political Ideologies",Hindi,https://www.youtube.com/playlist?list=PLZfz5K8XpMW35TyJTlIrFDv7EXyIHyT_M
80,Climate Psychology,"Climate Psyschology, Understanding Climate",Psychology,UCI Media,4.5,556242,12,"Clinical Psychology, Abnormal Psychology, Health Psychology",Engllish,https://www.youtube.com/playlist?list=PLA2E69FC89640C272
81,Understanding Climate Changes,Changes in the Climate,Sociology,Paracham Classes,4.6,246274,12,"Climatology, Environmental Change, Class11th Environmental Change",English,https://www.youtube.com/playlist?list=PLJ0PDUtEYgaxLDtqnJa4O38PGSNzyqmhh
82,Environmental Studies for all Exams,Environmental Studies for Boards and JEE,Enviromnetal Science,Paracham Classes,4.8,8463353,12,"Environmental Conservation, Pollution Control, Climate Change",English,https://www.youtube.com/playlist?list=PL1vNLZF5gfwfyFHsGeiBhDw9_51_JB-SB
83,Data Structures and ALgortihms For GATE,Datastructures and Algorithms for GATE,Computer Science and Engineering (CSE),Code With Harry,4.3,265483,13,"Algorithms, Data Structures, Engineering DSA, DSA course",Hindi,https://www.youtube.com/playlist?list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi
84,Introduction To DSA,"Data Structures, Algorithms, Gate, college Exams",Computer Science and Engineering (CSE),Neso Academy,4.6,95673,13,"Datastrucutres and Algorithms, Placements, C++ , English",English,https://www.youtube.com/playlist?list=PLBlnK6fEyqRj9lld8sWIUNwlKfdUoPd1Y
85,DSA For Engineering Exams,Data Structures for Engineering,Computer Science and Engineering (CSE),Brototype Malayalam,4.7,2156423,13,"Algorithms, Data Structures, Engineering DSA, DSA course, Malayalam",Malayalam,https://www.youtube.com/playlist?list=PLY-ecO2csVHc5kajCd3fHU6MhkTABkRh9
86,DSA In Malayalam,Data Structures in Malayalam,Computer Science and Engineering (CSE),Code With Harry,4.1,474553,13,"Algorithms, Data Structures, Engineering DSA, DSA course, Hindi",Hindi,https://www.youtube.com/playlist?list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi
87,DSA In Hindi,Data Structures in Hindi,Computer Science and Engineering (CSE),Abdul Bari,4.5,85435,13,"Algorithms, Data Structures, Engineering DSA, DSA course, English",English,https://www.youtube.com/playlist?list=PLAXnLdrLnQpRcveZTtD644gM9uzYqJCwr
88,Complete DSA In English ,Complete DSA,Computer Science and Engineering (CSE),Kunal Kushawa,4.9,5637234,13,"Dsa Java, Java Language, Interview preparatioin",Hindi,https://www.youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ
89,Learn Java From Scratch,DSA CPP java From,Computer Science and Engineering (CSE),Apna College,4.9,2673434,13,"DSA c++, DSA CPP, CPP, cpp, CPP Hindi",Hindi,https://www.youtube.com/playlist?list=PLfqMhTWNBTe0b2nM6JHVCnAkhQRGiZMSJ
90,Python Form Beginner To Adavanced,Python form Beginner,Computer Science and Engineering (CSE),Coding Ninjas,4.3,3474373,13,"DSA Python, Python, Scratch, DSA, Data structures",Hindi,https://www.youtube.com/playlist?list=PLrk5tgtnMN6TYBW0-U4YhIRyYEVpqVEnJ
91,Introduction To Electronics,Electronics on Systemstroo,Electrical Engineering,Learn By watch,4.6,2645735,13,"Electronics, Circuit Analysis, Power Systems, Control Systems",Hindi,https://www.youtube.com/playlist?list=PLL13-1PjGvanUxa4XI5qGaGdrHSORZ-n-
92,Digital Electornics,Electornics ec Transferectigital,Mechanical Engineering,Ekeeda,4.9,2463473,13,"Thermodynamics, Fluid Mechanics, Heat Transfer, Machine Design",Hindi,https://www.youtube.com/playlist?list=PLm_MSClsnwm-3P9zRcXPyyEBvz3qGycHV
93,Structural Engineering,"Structural History, polity, for Class 13th",Civil Engineering,Unacademy,4.8,345623,13,"Structural Engineering, Geotechnical Engineering, Environmental Engineering",English,https://www.youtube.com/playlist?list=PLk7ptZcI9vmhBA20JVIqhhPe7BILxKYn7
94,Digital Electornics,Digitalstructures ics Algorithms digital Electornics,Electronics and Communication Engineering (ECE),Neso Academy,4.6,2362452,13,"Digital Electronics, Communication Systems, VLSI Design",English,https://www.youtube.com/playlist?list=PLBlnK6fEyqRjMH3mWf6kwqiTbT798eAOm
95,Nano Technology,Technology ol Materialsano,Biotechnology,RK Physics Point,4.4,7654453,13,"Material Properties, Nanotechnology, Composite Materials, Nano chemistry",Hindi,https://www.youtube.com/playlist?list=PLO1URmIbkyNuT_PY3KPEXeCyZ_pgeKJAT
96,Nano Technology,"Nano History, polity, for Class 13th",Materials Science and Engineering,Engineering Physics,4.2,345262,13,"Material Properties, Nanotechnology, Composite Materials, Nano Physics, Nano Engineering",Hindi,https://www.youtube.com/playlist?list=PLQzUXa8lZVq__y0i5dOjW6oEr6h43bJCV
97,Introduction To Robotics,Robotics on Sensorstico,Mechatronics Engineering,NPTEL,4.5,23463262,13,"Robotics, Automation, Control Systems, Sensors and Actuators",English,https://www.youtube.com/playlist?list=PLbRMhDVUMngcdUbBySzyzcPiFTYWr4rV_
